,Date,Open_P,High_P,Low_P,Close_P,Adj_Close,Volume,pct
0,2020-05-28,1453.53,1458.73,1449.25,1457.5,1457.5,189529500.0,
1,2020-05-27,1446.91,1458.24,1446.42,1451.73,1451.73,189841100.0,-0.003958833619211011
2,2020-05-22,1451.37,1451.44,1435.23,1436.76,1436.76,144048200.0,-0.010311834845322498
3,2020-05-21,1437.49,1455.13,1437.13,1452.11,1452.11,168060000.0,0.010683760683760646
4,2020-05-20,1429.26,1435.12,1420.18,1435.12,1435.12,101428000.0,-0.011700215548408832
5,2020-05-19,1419.77,1428.12,1418.76,1423.97,1423.97,171866300.0,-0.007769385138524876
6,2020-05-18,1409.39,1416.94,1405.65,1410.16,1410.16,100010700.0,-0.009698238024677397
7,2020-05-15,1403.47,1408.19,1398.71,1403.44,1403.44,114462900.0,-0.004765416690304614
8,2020-05-14,1400.34,1411.08,1388.8,1397.25,1397.25,180103600.0,-0.004410591118964913
9,2020-05-13,1383.22,1400.67,1379.1,1397.13,1397.13,186890100.0,-8.588298443368281e-05
10,2020-05-12,1379.44,1388.41,1377.56,1379.93,1379.93,139615300.0,-0.012310951736774656
11,2020-05-08,1382.12,1392.23,1382.02,1382.31,1382.31,127071100.0,0.0017247251672185548
12,2020-05-06,1387.75,1393.56,1376.93,1376.93,1376.93,105301100.0,-0.0038920357951544027
13,2020-05-05,1378.75,1398.07,1378.75,1389.55,1389.55,79911100.0,0.009165317045891852
14,2020-05-04,1388.83,1388.83,1375.39,1376.59,1376.59,116486800.0,-0.009326760462020078
15,2020-04-30,1383.96,1418.42,1383.96,1407.78,1407.78,189319500.0,0.022657436128404207
16,2020-04-29,1372.39,1386.23,1372.17,1380.3,1380.3,122355200.0,-0.01952009546946254
17,2020-04-28,1371.98,1377.37,1367.44,1372.2,1372.2,145151500.0,-0.00586828950228202
18,2020-04-27,1371.6,1378.4,1370.16,1370.16,1370.16,74707700.0,-0.0014866637516396386
19,2020-04-24,1376.17,1377.71,1367.49,1369.85,1369.85,143980200.0,-0.00022625094879447083
20,2020-04-23,1388.74,1395.34,1378.78,1381.64,1381.64,147390800.0,0.008606781764426863
21,2020-04-22,1366.4,1383.09,1359.54,1381.89,1381.89,190817200.0,0.00018094438493387877
22,2020-04-21,1407.23,1407.23,1381.73,1381.73,1381.73,166167900.0,-0.00011578345599150275
23,2020-04-20,1411.69,1428.95,1411.69,1413.12,1413.12,183669900.0,0.02271789712896144
24,2020-04-17,1395.55,1414.67,1395.55,1407.34,1407.34,161977100.0,-0.004090240036231818
25,2020-04-16,1381.96,1398.53,1378.3,1386.53,1386.53,162695500.0,-0.014786760839598068
26,2020-04-15,1375.62,1394.66,1375.12,1387.79,1387.79,166219900.0,0.0009087434098071778
27,2020-04-14,1361.01,1373.8,1357.83,1371.66,1371.66,114404000.0,-0.011622795956160448
28,2020-04-13,1357.94,1359.68,1352.78,1356.03,1356.03,73131100.0,-0.011394952101832945
29,2020-04-10,1361.62,1362.16,1354.28,1357.5,1357.5,81993900.0,0.0010840468131236847
